video_id,label,frames,label_id,shape,format
106,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
139,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
161,Tidak ada gerakan,37,2,"(100, 176)",JPEG
205,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
220,Tidak ada gerakan,37,2,"(100, 176)",JPEG
233,Mengetuk Jari,37,1,"(100, 176)",JPEG
235,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
237,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
252,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
270,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
287,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
294,Mengetuk Jari,37,1,"(100, 176)",JPEG
314,Tidak ada gerakan,37,2,"(100, 132)",JPEG
321,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
347,Menarik Tangan Masuk,37,3,"(100, 132)",JPEG
357,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
361,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
368,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
385,Tidak ada gerakan,37,2,"(100, 176)",JPEG
398,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
407,Tidak ada gerakan,37,2,"(100, 132)",JPEG
414,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
451,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
452,Mengetuk Jari,37,1,"(100, 176)",JPEG
456,Tidak ada gerakan,37,2,"(100, 132)",JPEG
482,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
492,Tidak ada gerakan,37,2,"(100, 132)",JPEG
498,Mengetuk Jari,37,1,"(100, 176)",JPEG
502,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
503,Mengetuk Jari,37,1,"(100, 176)",JPEG
504,Tidak ada gerakan,37,2,"(100, 132)",JPEG
511,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
521,Mengetuk Jari,37,1,"(100, 176)",JPEG
523,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
543,Mengetuk Jari,37,1,"(100, 176)",JPEG
546,Mengetuk Jari,37,1,"(100, 176)",JPEG
556,Mengetuk Jari,37,1,"(100, 176)",JPEG
563,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
566,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
570,Mengetuk Jari,37,1,"(100, 176)",JPEG
586,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
618,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
625,Mengetuk Jari,37,1,"(100, 176)",JPEG
626,Mengetuk Jari,37,1,"(100, 176)",JPEG
647,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
669,Tidak ada gerakan,37,2,"(100, 176)",JPEG
674,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
721,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
736,Mengetuk Jari,37,1,"(100, 176)",JPEG
753,Mengetuk Jari,37,1,"(100, 176)",JPEG
796,Mengetuk Jari,37,1,"(100, 176)",JPEG
801,Menarik Dua Jari Masuk,37,4,"(100, 132)",JPEG
852,Tidak ada gerakan,37,2,"(100, 176)",JPEG
875,Mengetuk Jari,37,1,"(100, 176)",JPEG
895,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
897,Tidak ada gerakan,37,2,"(100, 132)",JPEG
899,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
907,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
936,Tidak ada gerakan,37,2,"(100, 176)",JPEG
939,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
943,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
952,Tidak ada gerakan,37,2,"(100, 176)",JPEG
1005,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
1026,Mengetuk Jari,37,1,"(100, 176)",JPEG
1055,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
1063,Mengetuk Jari,37,1,"(100, 176)",JPEG
1066,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
1072,Mengetuk Jari,37,1,"(100, 176)",JPEG
1125,Menarik Tangan Masuk,37,3,"(100, 176)",JPEG
1148,Mengetuk Jari,37,1,"(100, 176)",JPEG
1166,Menarik Dua Jari Masuk,37,4,"(100, 176)",JPEG
1183,Menarik Tangan Masuk,37,3,"(100, 132)",JPEG
1189,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
1208,Tidak ada gerakan,37,2,"(100, 176)",JPEG
1274,Tidak ada gerakan,37,2,"(100, 176)",JPEG
1276,Mendorong Tangan Menjauh,37,5,"(100, 176)",JPEG
1282,Tidak ada gerakan,37,2,"(100, 176)",JPEG
